#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,dash,"is a fast POSIX-compliant implementation of /bin/sh."
,bspwm,"is the main graphical user interface and window manager."
,sxhkd,"is a simple X hotkey daemon."
A,polybar,"is the status bar."
A,starship,"is a fancy prompt."
,python-pywal,"generates color schemes based on an image"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-opensans,"provides fonts used in telegram."
,ttf-fira-code,"is a free monospaced font with programming ligatures."
,ttf-font-awesome,"provides icons used in the polybar."
,ttf-ionicons,"provides icons used in the polybar."
,alacritty,"is the fastest terminal emulator in existence."
,ranger,"is an extensive terminal file manager that everyone likes."
,htop,"is a simple, ncurses interactive process viewer."
,zip,"is a compressor/archiver for creating and modifying zip files."
,unzip,"is used to get into zip files."
,lsd,"is a fancy ls replacement."
,rofi,"is a window switcher, application launcher and dmenu replacement."
,rofimoji,"is an extension to rofi, lets you choose symbols like emojis."
,neofetch,"is a info script that supports displaying images with w3m."
,jq,"is a command-line JSON processor"
,arandr,"is a UI for screen adjustment."
,neovim,"a tidier vim with some useful features"
,bc,"is used for a dropdown calculator."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,feh,"is a lightweight and powerful image viewer and wallpaper setter."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,firefox,"is an elegant browser."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
G,https://github.com/lukesmithxyz/st.git,"is Luke's custom build of suckless's terminal emulator."
,xdo,"is an utility for performing actions on windows in X."
,trash-cli,"is a trash to avoid accidentally losing files."
,slock,"allows you to lock your computer, and quickly unlock with your password."
A,visual-studio-code-bin,"is a free, cross-platform text editor."
A,discord,"is an app for communication."
,telegram-desktop,"is an app for communication."
,networkmanager,"is a network manager, makes connecting to wifi easy."
A,espanso,"is a text expander."
,rofimoji,"is a character picker for rofi."
,lolcat,"to have rainbows in terminals."
